470nm LEDs, 1 pack,  https://uk.rs-online.com/web/p/leds/1238663/
565nm LEDs, 1 pack, https://uk.rs-online.com/web/p/leds/2285045/
IR (890nm) LEDs, 1 pack, https://uk.rs-online.com/web/p/ir-leds/6997663/
Board to solder things, 1, https://uk.rs-online.com/web/p/stripboards/1004081/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D2929292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3130302D34303831267374613D3130303430383126&searchHistory=%7B%22enabled%22%3Atrue%7D
arduino nano, 1, https://uk.rs-online.com/web/p/processor-microcontroller-development-kits/6961667
box to place everything, 1, https://uk.rs-online.com/web/p/general-purpose-enclosures/1959121/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D2929292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3139352D39313231267374613D3139353931323126&searchHistory=%7B%22enabled%22%3Atrue%7D
transistors, 1 pack, https://uk.rs-online.com/web/p/products/7390381/
